id_colab_periodo;id_colaborador;periodo;horas_contratadas;codigo_cargo;codigo_area
100003-202005;100003;202005;191;5A1014;A0090
100003-202006;100003;202006;123;5A1014;A0090
100004-201901;100004;201901;75;5E1181;A0136
100004-201902;100004;201902;175;5E1181;A0136
100004-201903;100004;201903;80;5E1181;A0136
100004-201904;100004;201904;169;4K1171;A0139
100004-201905;100004;201905;103;4K1171;A0139
100004-201906;100004;201906;80;4K1171;A0139
100004-201907;100004;201907;80;4K1171;A0139
100004-201908;100004;201908;80;4K1171;A0139
100004-201909;100004;201909;188;4K1171;A0163
100004-201910;100004;201910;94;4K1171;A0163
100004-201911;100004;201911;53;4K1171;A0163
100004-201912;100004;201912;177;4K1171;A0163
100004-202001;100004;202001;149;5A1014;A0090
100004-202002;100004;202002;155;5A1014;A0090
100004-202003;100004;202003;62;5A1014;A0090
100004-202004;100004;202004;118;5A1014;A0090
100004-202005;100004;202005;171;5A1014;A0090
100004-202006;100004;202006;140;5A1014;A0090
100005-201901;100005;201901;50;5D1291;A0267
100005-201902;100005;201902;124;5D1291;A0267
100005-201904;100005;201904;49;5D1291;A0267
100005-201905;100005;201905;123;5D1291;A0267
100005-201906;100005;201906;80;5D1291;A0267
100005-201907;100005;201907;80;5D1291;A0267
100005-201908;100005;201908;80;5D1291;A0267
100005-201909;100005;201909;75;5D1291;A0267
100005-201910;100005;201910;156;5D1291;A0267
100005-201911;100005;201911;77;5D1291;A0267
100005-201912;100005;201912;138;5D1291;A0267
100005-202001;100005;202001;110;5D1291;A0267
100005-202002;100005;202002;181;4K1171;A0210
100005-202003;100005;202003;135;4K1171;A0210
100005-202004;100005;202004;110;4K1171;A0210
100005-202005;100005;202005;170;4K1171;A0210
100005-202006;100005;202006;48;4K1171;A0210
100006-201901;100006;201901;157;5E1341;A0118
100006-201902;100006;201902;125;5E1341;A0118
100006-201904;100006;201904;63;5E1341;A0118
100006-201905;100006;201905;114;5E1341;A0118
100006-201906;100006;201906;80;5E1341;A0118
100006-201907;100006;201907;80;5E1341;A0118
100006-201908;100006;201908;80;5E1341;A0118
100006-201909;100006;201909;139;5E1341;A0118
100006-201910;100006;201910;144;5E1341;A0118
100006-201911;100006;201911;94;5E1341;A0118
100006-201912;100006;201912;138;5E1341;A0118
100006-202001;100006;202001;187;5E1341;A0118
100006-202002;100006;202002;128;5E1341;A0118
100006-202003;100006;202003;103;5E1341;A0118
100006-202004;100006;202004;149;5E1341;A0118
100006-202005;100006;202005;61;5E1341;A0118
100006-202006;100006;202006;124;5E1341;A0118
100007-201901;100007;201901;106;4L1391;A0349
100007-201902;100007;201902;179;4L1391;A0349
100007-201904;100007;201904;152;4L1391;A0349
100007-201905;100007;201905;111;4K1171;A0139
100007-201906;100007;201906;80;4K1171;A0139
100007-201907;100007;201907;80;4K1171;A0139
100007-201908;100007;201908;80;4K1171;A0139
100007-201909;100007;201909;138;4K1171;A0139
100007-201910;100007;201910;151;4K1171;A0163
100007-201911;100007;201911;111;4K1171;A0163
100007-201912;100007;201912;190;4K1171;A0163
100007-202001;100007;202001;186;4K1171;A0163
100007-202002;100007;202002;71;5A1014;A0090
100007-202003;100007;202003;99;5A1014;A0090
100007-202004;100007;202004;70;5A1014;A0090
100007-202005;100007;202005;191;5A1014;A0090
100007-202006;100007;202006;186;5A1014;A0090
100008-201901;100008;201901;57;4L1391;A0323
100008-201902;100008;201902;87;4L1391;A0323
100008-201904;100008;201904;87;4L1391;A0323
100008-201905;100008;201905;51;4L1391;A0323
100008-201906;100008;201906;80;4L1391;A0323
100008-201907;100008;201907;80;4L1391;A0323
100008-201908;100008;201908;80;4L1391;A0323
100008-201909;100008;201909;147;4L1391;A0323
100008-201910;100008;201910;86;4L1391;A0323
100008-201911;100008;201911;169;4L1391;A0323
100008-201912;100008;201912;76;4L1391;A0323
100008-202001;100008;202001;52;4L1391;A0323
100008-202002;100008;202002;80;4K1171;A0210
100008-202003;100008;202003;52;4K1171;A0210
100008-202004;100008;202004;118;4K1171;A0210
100008-202005;100008;202005;104;4K1171;A0210
100008-202006;100008;202006;140;4K1171;A0210
100009-201901;100009;201901;190;4L1311;A0127
100009-201902;100009;201902;125;4L1311;A0127
100009-201903;100009;201903;192;4L1311;A0127
100009-201904;100009;201904;153;4L1311;A0127
100009-201905;100009;201905;56;4L1311;A0127
100009-201906;100009;201906;192;4L1311;A0127
100009-201907;100009;201907;192;4L1311;A0127
100009-201908;100009;201908;192;4K1171;A0321
100009-201909;100009;201909;102;4K1171;A0321
100009-201910;100009;201910;141;4K1171;A0321
100009-201911;100009;201911;135;4K1171;A0321
100009-201912;100009;201912;187;4K1171;A0321
100009-202001;100009;202001;124;4K1171;A0321
100009-202002;100009;202002;179;4K1171;A0072
100009-202003;100009;202003;191;4K1171;A0072
100009-202004;100009;202004;58;4K1171;A0072
100009-202005;100009;202005;171;4K1171;A0072
100009-202006;100009;202006;62;4K1171;A0072
100010-201901;100010;201901;131;5D1261;A0067
100010-201902;100010;201902;130;5D1261;A0067
100010-201904;100010;201904;113;5D1261;A0067
100010-201905;100010;201905;147;5D1261;A0067
100010-201906;100010;201906;80;5D1261;A0067
100010-201907;100010;201907;80;5D1261;A0067
100010-201908;100010;201908;80;5D1261;A0067
100010-201909;100010;201909;146;5D1261;A0067
100010-201910;100010;201910;185;5D1261;A0067
100010-201911;100010;201911;53;5D1261;A0067
100010-201912;100010;201912;168;5D1261;A0067
100010-202001;100010;202001;139;5D1261;A0067
100010-202002;100010;202002;167;5D1261;A0067
100010-202003;100010;202003;138;5D1261;A0067
100010-202004;100010;202004;96;5D1261;A0067
100010-202005;100010;202005;88;5D1261;A0067
100010-202006;100010;202006;92;5D1261;A0067
100011-201901;100011;201901;144;4L1311;A0127
100011-201902;100011;201902;55;4L1311;A0127
100011-201903;100011;201903;192;4L1311;A0127
100011-201904;100011;201904;163;4L1311;A0127
100011-201905;100011;201905;67;4L1311;A0127
100011-201906;100011;201906;192;4L1311;A0127
100011-201907;100011;201907;192;4L1311;A0127
100011-201908;100011;201908;192;4L1311;A0127
100011-201909;100011;201909;118;4L1311;A0127
100011-201910;100011;201910;170;4L1311;A0127
100011-201911;100011;201911;134;4L1311;A0127
100011-201912;100011;201912;75;4L1311;A0127
100011-202001;100011;202001;106;4K1171;A0210
100011-202002;100011;202002;96;4K1171;A0210
100011-202003;100011;202003;152;4K1171;A0210
100011-202004;100011;202004;160;4K1171;A0210
100011-202005;100011;202005;87;4K1171;A0210
100011-202006;100011;202006;107;4K1171;A0210
100012-201901;100012;201901;184;5D1291;A0269
100012-201902;100012;201902;136;5D1291;A0269
100012-201904;100012;201904;125;5D1291;A0269
100012-201905;100012;201905;83;5D1291;A0269
100012-201906;100012;201906;80;5D1291;A0269
100012-201907;100012;201907;80;5D1291;A0269
100012-201908;100012;201908;80;5D1291;A0269
100012-201909;100012;201909;81;5D1291;A0269
100012-201910;100012;201910;55;5D1291;A0269
100012-201911;100012;201911;109;5D1291;A0269
100012-201912;100012;201912;113;5D1291;A0269
100012-202001;100012;202001;142;5D1291;A0269
100012-202002;100012;202002;59;4K1171;A0210
100012-202003;100012;202003;138;4K1171;A0210
100012-202004;100012;202004;128;4K1171;A0210
100012-202005;100012;202005;133;4K1171;A0210
100012-202006;100012;202006;147;4K1171;A0210
100013-201901;100013;201901;86;4L1391;A0308
100013-201902;100013;201902;190;4L1391;A0308
100013-201904;100013;201904;54;4L1391;A0308
100013-201905;100013;201905;111;4L1391;A0308
100013-201906;100013;201906;80;4L1391;A0308
100013-201907;100013;201907;80;4L1391;A0308
100013-201908;100013;201908;80;4L1391;A0308
100013-201909;100013;201909;119;4L1391;A0308
100013-201910;100013;201910;66;4L1391;A0308
100013-201911;100013;201911;60;4L1391;A0308
100013-201912;100013;201912;148;4L1391;A0308
100013-202001;100013;202001;54;4L1391;A0308
100013-202002;100013;202002;184;4K1171;A0210
100013-202003;100013;202003;95;4K1171;A0210
100013-202004;100013;202004;54;4K1171;A0210
100013-202005;100013;202005;104;4K1171;A0210
100013-202006;100013;202006;101;4K1171;A0210
100014-201901;100014;201901;74;4K1531;A0094
100014-201902;100014;201902;88;4K1531;A0094
100014-201904;100014;201904;74;4K1531;A0094
100014-201905;100014;201905;113;4K1531;A0094
100014-201906;100014;201906;80;4K1531;A0094
100014-201907;100014;201907;80;4K1531;A0094
100014-201908;100014;201908;80;4K1531;A0094
100014-201909;100014;201909;120;4K1531;A0094
100014-201910;100014;201910;62;4K1531;A0094
100014-201911;100014;201911;185;4K1531;A0094
100014-201912;100014;201912;106;4K1531;A0094
100014-202001;100014;202001;74;4K1531;A0094
100014-202002;100014;202002;115;4K1531;A0094
100014-202003;100014;202003;78;4K1531;A0094
100014-202004;100014;202004;189;4K1531;A0094
100014-202005;100014;202005;142;4K1531;A0094
100014-202006;100014;202006;55;4K1531;A0094
100015-201901;100015;201901;75;4L1041;A0034
100015-201902;100015;201902;70;4L1041;A0034
100015-201904;100015;201904;166;4L1041;A0034
100015-201905;100015;201905;97;4K1171;A0139
100015-201906;100015;201906;192;4K1171;A0139
100015-201907;100015;201907;192;4K1171;A0139
100015-201908;100015;201908;192;4K1171;A0139
100015-201909;100015;201909;137;4K1171;A0139
100015-201910;100015;201910;60;4K1171;A0163
100015-201911;100015;201911;183;4K1171;A0163
100015-201912;100015;201912;141;4K1171;A0163
100015-202001;100015;202001;54;4K1171;A0163
100015-202002;100015;202002;49;5A1014;A0090
100015-202003;100015;202003;80;5A1014;A0090
100015-202004;100015;202004;110;5A1014;A0090
100015-202005;100015;202005;104;5A1014;A0090
100015-202006;100015;202006;161;5A1014;A0090
100016-201901;100016;201901;132;5D1271;A0182
100016-201902;100016;201902;164;5D1271;A0182
100016-201904;100016;201904;67;5D1271;A0182
100016-201905;100016;201905;61;4K1171;A0139
100016-201906;100016;201906;80;4K1171;A0139
100016-201907;100016;201907;80;4K1171;A0139
100016-201908;100016;201908;80;4K1171;A0139
100016-201909;100016;201909;171;4K1171;A0139
100016-201910;100016;201910;81;4K1171;A0163
100016-201911;100016;201911;55;4K1171;A0163
100016-201912;100016;201912;49;4K1171;A0163
100016-202001;100016;202001;62;4K1171;A0163
100016-202002;100016;202002;82;5A1014;A0090
100016-202003;100016;202003;98;5A1014;A0090
100016-202004;100016;202004;176;5A1014;A0090
100016-202005;100016;202005;112;5A1014;A0090
100016-202006;100016;202006;90;5A1014;A0090
100017-201901;100017;201901;135;4K1561;A0140
100017-201902;100017;201902;80;4K1561;A0140
100017-201904;100017;201904;180;4K1561;A0140
100017-201905;100017;201905;99;4K1171;A0139
100017-201906;100017;201906;160;4K1171;A0139
100017-201907;100017;201907;160;4K1171;A0139
100017-201908;100017;201908;160;4K1171;A0139
100017-201909;100017;201909;127;4K1171;A0139
100017-201910;100017;201910;81;4K1171;A0163
100017-201911;100017;201911;152;4K1171;A0163
100017-201912;100017;201912;97;4K1171;A0163
100017-202001;100017;202001;143;4K1171;A0163
100017-202002;100017;202002;68;5A1014;A0090
100017-202003;100017;202003;180;5A1014;A0090
100017-202004;100017;202004;165;5A1014;A0090
100017-202005;100017;202005;97;5A1014;A0090
100017-202006;100017;202006;115;5A1014;A0090
100018-201901;100018;201901;64;4L1391;A0314
100018-201902;100018;201902;79;4L1391;A0314
100018-201904;100018;201904;64;4L1391;A0314
100018-201905;100018;201905;139;4L1391;A0314
100018-201906;100018;201906;80;4L1391;A0314
100018-201907;100018;201907;80;4L1391;A0314
100018-201908;100018;201908;80;4L1391;A0314
100018-201909;100018;201909;141;4L1391;A0314
100018-201910;100018;201910;90;4L1391;A0314
100018-201911;100018;201911;67;4L1391;A0314
100018-201912;100018;201912;132;4L1391;A0314
100018-202001;100018;202001;157;4L1391;A0314
100018-202002;100018;202002;167;4K1171;A0210
100018-202003;100018;202003;151;4K1171;A0210
100018-202004;100018;202004;93;4K1171;A0210
100018-202005;100018;202005;161;4K1171;A0210
100018-202006;100018;202006;131;4K1171;A0210
100019-201901;100019;201901;157;4K1561;A0036
100019-201902;100019;201902;117;4K1561;A0036
100019-201904;100019;201904;138;4K1561;A0036
100019-201905;100019;201905;157;4K1171;A0139
100019-201906;100019;201906;156;4K1171;A0139
100019-201907;100019;201907;156;4K1171;A0139
100019-201908;100019;201908;156;4K1171;A0139
100019-201909;100019;201909;115;4K1171;A0139
100019-201910;100019;201910;137;4K1171;A0163
100019-201911;100019;201911;72;4K1171;A0163
100019-201912;100019;201912;92;4K1171;A0163
100019-202001;100019;202001;95;4K1171;A0163
100019-202002;100019;202002;112;5A1014;A0090
100019-202003;100019;202003;143;5A1014;A0090
100019-202004;100019;202004;104;5A1014;A0090
100019-202005;100019;202005;151;5A1014;A0090
100019-202006;100019;202006;178;5A1014;A0090
100020-201901;100020;201901;76;4L1391;A0023
100020-201902;100020;201902;168;4L1391;A0023
100020-201904;100020;201904;81;4L1391;A0023
100020-201905;100020;201905;93;4L1391;A0023
100020-201906;100020;201906;80;4L1391;A0023
100020-201907;100020;201907;80;4L1391;A0023
100020-201908;100020;201908;80;4L1391;A0023
100020-201909;100020;201909;121;4L1391;A0023
100020-201910;100020;201910;157;4L1391;A0023
100020-201911;100020;201911;54;4L1391;A0023
100020-201912;100020;201912;68;4L1391;A0023
100020-202001;100020;202001;72;4L1391;A0023
100020-202002;100020;202002;114;4K1171;A0210
100020-202003;100020;202003;177;4K1171;A0210
100020-202004;100020;202004;65;4K1171;A0210
100020-202005;100020;202005;138;4K1171;A0210
100020-202006;100020;202006;77;4K1171;A0210
100021-201901;100021;201901;83;4L1391;A0297
100021-201902;100021;201902;134;4L1391;A0297
100021-201904;100021;201904;79;4L1391;A0297
100021-201905;100021;201905;75;4K1171;A0139
100021-201906;100021;201906;80;4K1171;A0139
100021-201907;100021;201907;80;4K1171;A0139
100021-201908;100021;201908;80;4K1171;A0139
100021-201909;100021;201909;121;4K1171;A0139
100021-201910;100021;201910;147;4K1171;A0163
100021-201911;100021;201911;88;4K1171;A0163
100021-201912;100021;201912;174;4K1171;A0163
100021-202001;100021;202001;115;4K1171;A0163
100021-202002;100021;202002;170;5A1014;A0090
100021-202003;100021;202003;127;5A1014;A0090
100021-202004;100021;202004;136;5A1014;A0090
100021-202005;100021;202005;117;5A1014;A0090
100021-202006;100021;202006;144;5A1014;A0090
100022-201901;100022;201901;115;5D1291;A0270
100022-201902;100022;201902;72;5D1291;A0270
100022-201904;100022;201904;77;5D1291;A0270
100022-201905;100022;201905;167;4K1171;A0139
100022-201906;100022;201906;80;4K1171;A0139
100022-201907;100022;201907;80;4K1171;A0139
100022-201908;100022;201908;80;4K1171;A0139
100022-201909;100022;201909;125;4K1171;A0139
100022-201910;100022;201910;65;4K1171;A0163
100022-201911;100022;201911;90;4K1171;A0163
100022-201912;100022;201912;105;4K1171;A0163
100022-202001;100022;202001;152;4K1171;A0163
100022-202002;100022;202002;163;5A1014;A0090
100022-202003;100022;202003;133;5A1014;A0090
100022-202004;100022;202004;178;5A1014;A0090
100022-202005;100022;202005;139;5A1014;A0090
100022-202006;100022;202006;142;5A1014;A0090
100023-201901;100023;201901;163;5D1261;A0069
100023-201902;100023;201902;156;5D1261;A0069
100023-201904;100023;201904;166;5D1261;A0069
100023-201905;100023;201905;112;4K1171;A0139
100023-201906;100023;201906;80;4K1171;A0139
100023-201907;100023;201907;80;4K1171;A0139
100023-201908;100023;201908;80;4K1171;A0139
100023-201909;100023;201909;68;4K1171;A0139
100023-201910;100023;201910;189;4K1171;A0163
100023-201911;100023;201911;116;4K1171;A0163
100023-201912;100023;201912;186;4K1171;A0163
100023-202001;100023;202001;107;4K1171;A0163
100023-202002;100023;202002;65;5A1014;A0090
100023-202003;100023;202003;146;5A1014;A0090
100023-202004;100023;202004;103;5A1014;A0090
100023-202005;100023;202005;151;5A1014;A0090
100023-202006;100023;202006;128;5A1014;A0090
100024-201901;100024;201901;104;5D1291;A0338
100024-201902;100024;201902;118;5D1291;A0338
100024-201904;100024;201904;125;5D1291;A0338
100024-201905;100024;201905;118;5D1291;A0338
100024-201906;100024;201906;80;5D1291;A0338
100024-201907;100024;201907;80;5D1291;A0338
100024-201908;100024;201908;80;5D1291;A0338
100024-201909;100024;201909;62;5D1291;A0338
100024-201910;100024;201910;80;5D1291;A0338
100024-201911;100024;201911;172;5D1291;A0338
100024-201912;100024;201912;161;5D1291;A0338
100024-202001;100024;202001;82;5D1291;A0338
100024-202002;100024;202002;56;5D1291;A0338
100024-202003;100024;202003;155;5D1291;A0338
100024-202004;100024;202004;130;5D1291;A0338
100024-202005;100024;202005;135;5D1291;A0338
100024-202006;100024;202006;107;5D1291;A0338
100025-201901;100025;201901;83;5A1013;A0370
100025-201902;100025;201902;135;5A1013;A0370
100025-201903;100025;201903;160;5A1013;A0370
100025-201904;100025;201904;88;4K1171;A0139
100025-201905;100025;201905;192;4K1171;A0139
100025-201906;100025;201906;160;4K1171;A0139
100025-201907;100025;201907;160;4K1171;A0139
100025-201908;100025;201908;160;4K1171;A0139
100025-201909;100025;201909;125;4K1171;A0163
100025-201910;100025;201910;61;4K1171;A0163
100025-201911;100025;201911;158;4K1171;A0163
100025-201912;100025;201912;176;4K1171;A0163
100025-202001;100025;202001;146;5A1014;A0090
100025-202002;100025;202002;158;5A1014;A0090
100025-202003;100025;202003;164;5A1014;A0090
100025-202004;100025;202004;164;5A1014;A0090
100025-202005;100025;202005;86;5A1014;A0090
100025-202006;100025;202006;179;5A1014;A0090
100026-201901;100026;201901;58;4L1041;A0036
100026-201902;100026;201902;88;4L1041;A0036
100026-201904;100026;201904;142;4L1041;A0036
100026-201905;100026;201905;60;4L1041;A0036
100026-201906;100026;201906;80;4L1041;A0036
100026-201907;100026;201907;80;4L1041;A0036
100026-201908;100026;201908;80;4L1041;A0036
100026-201909;100026;201909;55;4L1041;A0036
100026-201910;100026;201910;147;4L1041;A0036
100026-201911;100026;201911;154;4L1041;A0036
100026-201912;100026;201912;121;4L1041;A0036
100026-202001;100026;202001;97;4L1041;A0036
100026-202002;100026;202002;163;4K1171;A0210
100026-202003;100026;202003;183;4K1171;A0210
100026-202004;100026;202004;86;4K1171;A0210
100026-202005;100026;202005;95;4K1171;A0210
100026-202006;100026;202006;190;4K1171;A0210
100027-201901;100027;201901;145;5D1291;A0015
100027-201902;100027;201902;153;5D1291;A0015
100027-201904;100027;201904;109;5D1291;A0015
100027-201905;100027;201905;78;5D1291;A0015
100027-201906;100027;201906;80;5D1291;A0015
100027-201907;100027;201907;80;5D1291;A0015
100027-201908;100027;201908;80;5D1291;A0015
100027-201909;100027;201909;161;5D1291;A0015
100027-201910;100027;201910;156;5D1291;A0015
100027-201911;100027;201911;163;5D1291;A0015
100027-201912;100027;201912;139;5D1291;A0015
100027-202001;100027;202001;123;5D1291;A0015
100027-202002;100027;202002;124;4K1171;A0210
100027-202003;100027;202003;101;4K1171;A0210
100027-202004;100027;202004;164;4K1171;A0210
100027-202005;100027;202005;85;4K1171;A0210
100027-202006;100027;202006;182;4K1171;A0210
100028-201901;100028;201901;85;4L1041;A0046
100028-201902;100028;201902;132;4L1041;A0046
100028-201904;100028;201904;172;4L1041;A0046
100028-201905;100028;201905;124;4L1041;A0046
100028-201906;100028;201906;180;4L1041;A0046
100028-201907;100028;201907;180;4L1041;A0046
100028-201908;100028;201908;180;4L1041;A0046
100028-201909;100028;201909;184;4K1171;A0321
100028-201910;100028;201910;118;4K1171;A0321
100028-201911;100028;201911;136;4K1171;A0321
100028-201912;100028;201912;66;4K1171;A0321
100028-202001;100028;202001;187;4K1171;A0321
100028-202002;100028;202002;59;4K1171;A0321
100028-202003;100028;202003;92;4K1171;A0072
100028-202004;100028;202004;169;4K1171;A0072
100028-202005;100028;202005;120;4K1171;A0072
100028-202006;100028;202006;67;4K1171;A0072
100029-201901;100029;201901;101;5D1261;A0210
100029-201902;100029;201902;56;5D1261;A0210
100029-201904;100029;201904;159;5D1261;A0210
100029-201905;100029;201905;152;5D1261;A0210
100029-201906;100029;201906;80;5D1261;A0210
100029-201907;100029;201907;80;5D1261;A0210
100029-201908;100029;201908;80;5D1261;A0210
100029-201909;100029;201909;52;5D1261;A0210
100029-201910;100029;201910;107;5D1261;A0210
100029-201911;100029;201911;187;5D1261;A0210
100029-201912;100029;201912;154;5D1261;A0210
100029-202001;100029;202001;55;5D1261;A0210
100029-202002;100029;202002;148;5D1261;A0210
100029-202003;100029;202003;98;5D1261;A0210
100029-202004;100029;202004;147;5D1261;A0210
100029-202005;100029;202005;89;5D1261;A0210
100029-202006;100029;202006;123;5D1261;A0210
100030-201901;100030;201901;156;5D1276;A0177
100030-201902;100030;201902;61;5D1276;A0177
100030-201904;100030;201904;54;5D1276;A0177
100030-201905;100030;201905;70;5D1276;A0177
100030-201906;100030;201906;80;5D1276;A0177
100030-201907;100030;201907;80;5D1276;A0177
100030-201908;100030;201908;80;5D1276;A0177
100030-201909;100030;201909;116;5D1276;A0177
100030-201910;100030;201910;155;5D1276;A0177
100030-201911;100030;201911;115;5D1276;A0177
100030-201912;100030;201912;138;5D1276;A0177
100030-202001;100030;202001;164;5D1276;A0177
100030-202002;100030;202002;134;4K1171;A0210
100030-202003;100030;202003;168;4K1171;A0210
100030-202004;100030;202004;166;4K1171;A0210
100030-202005;100030;202005;130;4K1171;A0210
100030-202006;100030;202006;73;4K1171;A0210
100031-201901;100031;201901;105;5D1291;A0030
100031-201902;100031;201902;140;5D1291;A0030
100031-201904;100031;201904;192;5D1291;A0030
100031-201905;100031;201905;97;5D1291;A0030
100031-201906;100031;201906;80;5D1291;A0030
100031-201907;100031;201907;80;5D1291;A0030
100031-201908;100031;201908;80;5D1291;A0030
100031-201909;100031;201909;178;5D1291;A0030
100031-201910;100031;201910;155;5D1291;A0030
100031-201911;100031;201911;52;5D1291;A0030
100031-201912;100031;201912;192;5D1291;A0030
100031-202001;100031;202001;115;5D1291;A0030
100031-202002;100031;202002;167;5D1291;A0030
100031-202003;100031;202003;87;5D1291;A0030
100031-202004;100031;202004;97;5D1291;A0030
100031-202005;100031;202005;111;5D1291;A0030
100031-202006;100031;202006;192;5D1291;A0030
100032-201901;100032;201901;112;5D1291;A0032
100032-201902;100032;201902;153;5D1291;A0032
100032-201904;100032;201904;84;5D1291;A0032
100032-201905;100032;201905;140;4K1171;A0139
100032-201906;100032;201906;80;4K1171;A0139
100032-201907;100032;201907;80;4K1171;A0139
100032-201908;100032;201908;80;4K1171;A0139
100032-201909;100032;201909;86;4K1171;A0139
100032-201910;100032;201910;61;4K1171;A0163
100032-201911;100032;201911;164;4K1171;A0163
100032-201912;100032;201912;117;4K1171;A0163
100032-202001;100032;202001;63;4K1171;A0163
100032-202002;100032;202002;169;5A1014;A0090
100032-202003;100032;202003;138;5A1014;A0090
100032-202004;100032;202004;187;5A1014;A0090
100032-202005;100032;202005;151;5A1014;A0090
100032-202006;100032;202006;127;5A1014;A0090
100033-201901;100033;201901;189;5D1271;A0180
100033-201902;100033;201902;172;5D1271;A0180
100033-201904;100033;201904;187;5D1271;A0180
100033-201905;100033;201905;53;4K1171;A0139
100033-201906;100033;201906;80;4K1171;A0139
100033-201907;100033;201907;80;4K1171;A0139
100033-201908;100033;201908;80;4K1171;A0139
100033-201909;100033;201909;70;4K1171;A0139
100033-201910;100033;201910;129;4K1171;A0163
100033-201911;100033;201911;111;4K1171;A0163
100033-201912;100033;201912;73;4K1171;A0163
100033-202001;100033;202001;120;4K1171;A0163
100033-202002;100033;202002;66;5A1014;A0090
100033-202003;100033;202003;151;5A1014;A0090
100033-202004;100033;202004;56;5A1014;A0090
100033-202005;100033;202005;114;5A1014;A0090
100033-202006;100033;202006;95;5A1014;A0090
100034-201901;100034;201901;162;4L1311;A0127
100034-201902;100034;201902;169;4L1311;A0127
100034-201903;100034;201903;192;4L1311;A0127
100034-201904;100034;201904;152;4K1171;A0139
100034-201905;100034;201905;75;4K1171;A0139
100034-201906;100034;201906;192;4K1171;A0139
100034-201907;100034;201907;192;4K1171;A0139
100034-201908;100034;201908;192;4K1171;A0139
100034-201909;100034;201909;117;4K1171;A0163
100034-201910;100034;201910;119;4K1171;A0163
100034-201911;100034;201911;183;4K1171;A0163
100034-201912;100034;201912;120;4K1171;A0163
100034-202001;100034;202001;95;5A1014;A0090
100034-202002;100034;202002;81;5A1014;A0090
100034-202003;100034;202003;177;5A1014;A0090
100034-202004;100034;202004;107;5A1014;A0090
100034-202005;100034;202005;75;5A1014;A0090
100034-202006;100034;202006;86;5A1014;A0090
100035-201901;100035;201901;183;5D1261;A0208
100035-201902;100035;201902;116;5D1261;A0208
100035-201904;100035;201904;170;5D1261;A0208
100035-201905;100035;201905;121;5D1261;A0208
