Afiliado,salario
4958534,2500000
22233101,2350000
4231322,1700000
8166870,1800000
10330690,3160000
10549048,1300000
2013224,3160000
3044899,2350000
16335261,2350000
113554,3160000
3227666,1700000
2496546,1300000
17678431,2350000
5724384,1700000
10024177,2350000
19413408,3160000
3248770,2350000
1269447,3160000
14869872,1300000
9164094,2350000
13594456,2350000
16324153,2350000
6189493,1800000
13388847,1300000
8493847,2500000
15054550,1700000
2109695,1300000
7484887,3160000
10199866,2350000
3394554,2350000
1881070,1700000
2113889,1700000
7545569,3160000
7661550,1700000
7727369,1300000
2588944,1300000
169970,2500000
12293767,1800000
18466932,1800000
5926339,2500000
8169634,3160000
2519760,1700000
9051015,2350000
5692385,2500000
6713712,2350000
10766314,2500000
7015360,1800000
6128781,2500000
6852853,3160000
3329497,3160000
13643966,3160000
16824564,2350000
21082559,2500000
2057304,2500000
5619070,2350000
7110314,3160000
12756801,3160000
7520396,3160000
10548113,1700000
9871095,1800000
17992057,1800000
6457850,3160000
1267752,1700000
22191872,2350000
6331574,2350000
1669074,1700000
16398643,1700000
20831905,2500000
9886286,1300000
4227717,2350000
10530786,1800000
10448064,1300000
18662829,1800000
7320311,2350000
17191130,2500000
10526842,1700000
10675982,2500000
1964824,1300000
2968368,2500000
4062165,3160000
16336890,1300000
8244012,2350000
11040488,1300000
18651872,1700000
9393390,1700000
6161566,2500000
20648524,1700000
18682538,1800000
14094170,1300000
5842358,3160000
7233201,2350000
181741,3160000
16974010,2350000
16397636,2350000
1036406,1300000
1136373,3160000
12577506,2350000
7480372,2350000
7611070,1700000
4550357,3160000
14163181,1300000
5166941,2350000
771384,1800000
158912,1800000
13685444,2350000
1064818,1300000
18973398,2500000
2711033,1300000
14362517,1700000
10026902,1300000
22170700,1700000
6117453,1800000
11006142,3160000
18473170,1700000
7957425,1800000
8311505,1800000
7659124,3160000
3205379,1700000
7993670,2500000
2373723,1800000
306825,1300000
18691483,2500000
7266623,2500000
5918977,1800000
9809623,2350000
7365819,2350000
9482286,3160000
4561319,1300000
10819365,3160000
5550805,2500000
1776522,1300000
10948611,2350000
22103653,1700000
6114500,1700000
9947671,2350000
7310064,2500000
22948440,1700000
129884,1700000
2535554,1700000
6138940,1700000
15627663,2350000
2283623,3160000
7213606,1300000
1069511,3160000
542961,1700000
18705802,3160000
19404651,1800000
1763372,3160000
2227646,3160000
7364143,1300000
18493960,3160000
21923132,2500000
5878087,1300000
12069310,1800000
17947088,1700000
4114868,1800000
7988933,2350000
10143152,2350000
7354731,2500000
6837217,3160000
19384673,2350000
5836627,1300000
4578067,2500000
6484738,1700000
2489515,1300000
2396564,1300000
7576395,3160000
8121580,1300000
2006069,1800000
21706130,3160000
2939460,2350000
15566060,1700000
7156132,3160000
3354730,3160000
9967221,1300000
12147088,2500000
9071894,1300000
2065281,3160000
19879354,2350000
5952433,2500000
8037390,2350000
408406,3160000
7889002,1300000
5947031,2500000
5874994,1300000
10483998,1800000
10538520,1700000
7681615,2500000
8478139,2500000
6819003,1700000
19257698,1800000
9052933,3160000
3168569,2500000
1494194,2500000
11970377,1700000
22237452,1700000
6001867,1700000
2937563,1800000
9582978,1700000
6837676,2500000
9752934,3160000
10873787,1800000
461756,1300000
6890575,1700000
8345263,1700000
10843935,2500000
1910769,1700000
9730525,2350000
5787020,2350000
18961205,1300000
9522943,1700000
18664380,3160000
6575463,1700000
9637853,2500000
10332145,1700000
17934164,3160000
935348,1300000
14488109,2500000
19480576,3160000
17996674,2350000
5647871,2500000
3221797,2500000
10706464,1300000
1713893,1300000
3058180,1700000
9638680,1700000
6638761,1700000
11683135,2350000
9105578,3160000
10055258,1700000
17736403,1700000
1257522,3160000
3136285,2350000
21023260,2500000
6015313,1700000
18685501,2350000
14386868,2500000
6630732,1300000
5287037,1800000
7522273,1700000
4479796,3160000
93808,1300000
5484316,2500000
8098157,3160000
18402541,2500000
7606558,1700000
9519939,1800000
9609912,1700000
1617622,2350000
2771183,1300000
9400477,2500000
9310974,2350000
7027066,1300000
14073180,1800000
9791525,3160000
6083670,1300000
12378089,1300000
7997004,1700000
8487524,1800000
18659565,1700000
10984896,1800000
6606145,1300000
19371597,1800000
10848361,1800000
17204921,1300000
2606119,2500000
11747029,2350000
2778136,1700000
14416538,2350000
5882571,2500000
9701073,1300000
2822443,3160000
8446980,2350000
14792311,3160000
6316888,2350000
9772133,1700000
9983049,2350000
977142,1800000
19155371,2350000
23071991,1700000
7009456,3160000
21760067,2500000
1406456,1700000
6100623,1800000
4695064,2500000
1567227,1300000
12854216,2350000
7798342,1800000
115784,3160000
8383517,1700000
2479595,2350000
18236604,3160000
4467573,2350000
6930447,3160000
9290271,2500000
3616491,1300000
10395721,1700000
5566782,1300000
6607517,2500000
7166026,1300000
1872764,2350000
4833105,2350000
6844010,2500000
21237692,2500000
5177478,2500000
7661028,3160000
2758990,1700000
17996658,2350000
2224081,2500000
8384264,1800000
3009955,2350000
5706555,1700000
586213,2350000
1028687,2350000
9352160,2350000
9550867,2500000
1818810,1300000
19373096,3160000
858708,1300000
6991042,1700000
5141386,2350000
7836925,3160000
7128490,1300000
18655249,2500000
17229143,1300000
2127990,1700000
10091175,2500000
1847855,1800000
7063973,2500000
6311635,2350000
5576151,3160000
8081289,2350000
2321252,2350000
14730799,2500000
8087984,2500000
14741420,1300000
7484801,1300000
2586099,1800000
9352531,3160000
6997636,2500000
20773123,3160000
18659628,1700000
23015342,2500000
18230485,3160000
10395119,1300000
14780437,2500000
16216805,1700000
10503140,2350000
1824015,1700000
4688670,3160000
17995177,1700000
18682963,3160000
18617467,2500000
7417131,3160000
5979662,2350000
11011496,2350000
9053223,1700000
15979339,1800000
18623430,1700000
18706280,1700000
1873966,1300000
8434136,1300000
10958373,2350000
7329347,1300000
19465138,1300000
10009780,1700000
11758758,3160000
19404856,3160000
16565240,2350000
10850520,1700000
5705815,2350000
7384673,2350000
19415554,2350000
21882813,1700000
3858708,1700000
5042108,1800000
2656846,1800000
15088416,1300000
10180366,3160000
9278947,1700000
15726254,3160000
10449164,1700000
2984483,1700000
55959,3160000
13583810,2350000
1350535,1300000
22234860,1700000
1514894,3160000
18685807,3160000
2542524,1300000
2728222,2500000
872168,3160000
14774991,2350000
1425500,1800000
22005,1300000
9716046,1300000
7109072,2500000
10896115,2500000
3955475,1800000
3286135,1700000
16766022,1800000
7928398,3160000
6620802,1700000
2437945,1300000
9659181,2500000
5907693,1700000
2018308,2350000
18648405,2500000
18324430,1700000
2684513,1700000
5944266,2500000
14098117,3160000
1884689,1800000
7395179,1700000
5881888,3160000
15552444,2500000
919991,1300000
11006085,2350000
17394383,1800000
17246416,1700000
2457963,1300000
8036336,1800000
1838206,2350000
2218289,1700000
2411820,3160000
7543451,2350000
16318138,1300000
3330621,1800000
6758774,1300000
17495528,1800000
1080690,2350000
7459615,3160000
2075997,2350000
5626583,2500000
6924149,1700000
23021097,1300000
18839564,3160000
9154546,1800000
1627981,1300000
7538897,1800000
9567588,1800000
10105935,1800000
5708940,1300000
9559580,2500000
7159551,3160000
18656311,2350000
6532151,2500000
19399318,1700000
57036,1800000
8165176,3160000
13705803,1700000
14785416,1700000
18708104,2500000
10776880,1700000
18665469,1800000
21931950,1300000
6748838,2350000
22051969,1800000
820423,3160000
8465926,1700000
16669393,3160000
21915267,2350000
7972809,1700000
6349805,1300000
8152354,1800000
2489969,3160000
895881,2350000
19415185,3160000
10315026,3160000
16654054,2500000
6019583,2500000
9317120,1300000
81224,1800000
1799916,3160000
6380939,1300000
2133625,2350000
802006,3160000
10320031,1700000
9332850,2350000
6993383,2350000
3807742,2350000
1748302,2500000
21255927,2350000
6913334,1300000
13684649,1700000
3040905,2500000
19480717,3160000
18650925,1300000
18692482,3160000
9567097,2500000
8249963,1800000
4781680,1700000
9645482,1300000
8188896,3160000
2737673,2500000
210147,3160000
4464169,2350000
2373675,1800000
5750368,2350000
14991265,2350000
5578438,1700000
18739799,3160000
9555147,1700000
1539233,1800000
7717552,3160000
9731613,1300000
10441015,2350000
2799726,2500000
6897676,1300000
10975046,1700000
8151590,1700000
7261870,3160000
9334725,1300000
18506950,1300000
9930764,3160000
7749329,1300000
9561275,1700000
8263613,2350000
4733714,1700000
20945760,1300000
18633643,1700000
7036979,2500000
18716962,2500000
925143,1300000
5895920,1800000
3554389,1800000
2181798,2500000
18473376,1800000
1551943,2500000
14733584,1700000
10541488,2350000
9969410,2350000
15699882,2350000
13811421,1300000
7413635,1800000
14800597,2500000
3499247,2350000
10974334,2350000
3455261,1300000
1373823,2500000
10146523,2500000
7527206,2500000
3581183,2500000
9669974,1300000
7581183,2500000
10426272,3160000
4077588,3160000
8121428,2350000
4879411,2500000
1071702,2500000
2900171,1300000
2532278,1700000
9258941,3160000
10110391,3160000
758332,2350000
23304711,1300000
18693096,1800000
1849067,1800000
20847135,1300000
9592483,1700000
3263231,1300000
767226,1700000
932682,3160000
7914067,2500000
6525567,2500000
10455745,1800000
9805297,1800000
2419444,1800000
15074294,1300000
7318939,2350000
15688812,1700000
21981853,1800000
9764664,1700000
2757163,1300000
23215409,1800000
2460714,1800000
9372953,1300000
831387,1700000
8241731,1800000
2793151,1300000
6164766,1300000
9820743,2350000
8320760,1700000
3046404,1800000
9554381,3160000
21342504,1800000
19387710,1700000
1031692,2350000
2177100,1300000
7057151,1800000
8389072,1800000
181763,2350000
9068684,1700000
7863706,2500000
9604195,1800000
14100764,3160000
18664435,1800000
18329277,2350000
6762289,1800000
14442892,2500000
21863201,2500000
4796106,1300000
19377486,2350000
10908796,1800000
451400,1700000
10439043,1700000
7424183,1800000
5489158,2350000
18696676,1300000
23233295,1800000
2653933,3160000
10949136,3160000
3724231,2500000
14915584,3160000
10126641,2500000
20941457,2500000
22243138,1300000
2099512,1800000
10233881,1700000
4287726,1700000
1302591,1300000
7512776,1700000
17947003,3160000
3433369,3160000
2244781,1300000
23193324,1700000
7839491,1300000
9874481,3160000
3405641,1300000
22071372,2350000
16658708,2500000
4597118,2350000
22115959,2350000
1540114,1700000
1060135,1800000
9472332,3160000
7710674,1700000
10707217,2500000
1459694,2500000
2915595,1700000
1072398,1300000
5986448,2350000
20801279,2500000
22049626,3160000
10044314,1300000
9810862,1800000
2896946,2500000
16424411,1300000
6867023,1700000
18666476,1300000
961667,3160000
3914305,1300000
3205318,2500000
5880314,1300000
14367553,2500000
2959316,2350000
9559192,1300000
22210960,1300000
758357,1700000
11775584,2350000
1441946,1700000
6765113,1300000
9507834,1300000
1126900,2500000
18694148,1700000
2152508,3160000
2255222,3160000
2652764,1300000
6414264,1700000
3801519,2350000
5848227,1800000
23307317,3160000
10434190,1300000
6925707,2350000
7835707,2500000
6547866,2500000
10866653,3160000
18919435,2350000
18406787,3160000
18919529,3160000
16033124,2500000
776900,1300000
7753625,1300000
7662030,1800000
10968870,2500000
267228,1700000
1041569,3160000
10907688,1700000
14694374,2350000
4355611,2500000
6470064,1300000
10424917,1300000
5930221,2350000
9653159,2350000
6408932,2350000
5934999,1800000
1381266,1300000
15881715,2500000
4731627,1800000
10128111,2350000
8036320,2350000
19382791,3160000
4711108,1300000
1151907,1700000
2752808,2350000
2080684,2500000
3146505,2500000
2726371,1300000
14754061,1300000
9838194,3160000
1599273,1700000
8304543,2350000
7930464,1800000
8437455,1300000
8111203,1300000
16671196,1800000
13081717,2350000
7135065,3160000
10044281,1300000
19481345,2500000
2900504,1800000
1997682,3160000
9337421,1700000
7660819,2350000
1469281,1800000
7801210,2500000
22137509,1800000
23160391,1700000
1407638,1800000
7908347,2350000
13668198,2350000
1986635,1800000
2547329,3160000
9069719,2500000
10443222,2350000
14764093,2500000
76146,1300000
22064258,1700000
1319354,1800000
15688762,1800000
17347019,2350000
9812224,2350000
3465706,3160000
13673126,3160000
12163517,1300000
20873823,1300000
9443099,2350000
2428422,1700000
14310139,1800000
5963794,1700000
13716755,3160000
6174777,3160000
18311278,1800000
11061199,2500000
17314900,2500000
23041568,2350000
2880555,1300000
6410027,1800000
22036813,3160000
7158876,3160000
3504720,1300000
22195362,1700000
21314125,1800000
16776679,1700000
6503831,1300000
5324775,1300000
22110788,2350000
1553783,1700000
5953266,1800000
16721936,3160000
8447018,1700000
10292199,1800000
786386,2500000
21938130,2350000
6771505,1700000
871826,1300000
18692501,1300000
6297329,3160000
80613,1700000
2973126,2350000
10290204,1800000
6625869,2500000
7524693,2350000
14694400,2500000
17159228,3160000
86136,3160000
2213598,1700000
12836636,1800000
564197,2500000
1052477,3160000
2325217,2500000
2469811,1300000
17718327,2350000
1102827,1700000
13700154,1700000
7165021,2350000
1419829,2500000
18221501,1800000
18690002,2500000
6756322,1700000
6711376,3160000
10233344,1700000
3334504,3160000
22257026,1300000
18678817,1300000
853276,1800000
9358093,3160000
9564731,1700000
6735395,3160000
1755309,2500000
9531023,3160000
10235920,2350000
9573864,1700000
9691551,1800000
1670203,3160000
21343560,2350000
9578160,2500000
3190946,2350000
12780660,1700000
22033314,1700000
836489,2350000
5448387,1700000
9339493,1800000
7355418,2500000
6517668,2500000
4580308,1700000
11584846,1800000
9687965,3160000
12898106,1700000
12488171,2500000
14817901,2500000
10215043,1300000
8309454,1300000
9733233,1300000
12913885,2350000
5861741,1700000
18638529,1300000
2355661,1700000
3525097,1300000
14962982,3160000
1141527,1700000
11343329,2350000
10968334,1800000
3555393,1800000
18678347,2500000
5310058,2500000
10843184,3160000
6986249,2350000
8457239,2500000
15052119,2500000
3597071,2500000
18692147,1300000
2919698,2350000
114800,2350000
4796223,2500000
2644931,2500000
6911469,2350000
10488956,1700000
7526967,3160000
811885,1800000
10384691,1300000
4839291,1800000
2922048,3160000
15141375,1700000
6917131,1700000
9330316,1300000
20857308,1300000
12597168,1300000
17536890,3160000
9392836,3160000
21706329,3160000
9888495,2350000
1609705,1300000
994707,3160000
2029315,2350000
2920895,1700000
7341234,1800000
7513896,3160000
1543947,1700000
8044856,1300000
7853731,1700000
8031917,1800000
9989064,1300000
22079607,1800000
16173608,1700000
9367206,2500000
7392737,1300000
5941304,2500000
10972345,3160000
9059796,1800000
6693703,2500000
28473,2350000
7201253,2500000
9120766,3160000
7126420,2350000
7786725,2500000
9751244,2350000
948618,2350000
1959482,2350000
16873289,1700000
9852372,1800000
18600240,1300000
3260836,1300000
14861057,2350000
10925137,3160000
21950314,1300000
10896610,1700000
6718074,1700000
8337949,3160000
7227972,2500000
15054279,1300000
3448899,2500000
8197072,2350000
2049677,2350000
10307881,2500000
3879257,1800000
2852287,1800000
7642833,1300000
9058171,1700000
2182074,1300000
7415499,1700000
3953208,1300000
785919,3160000
8221154,1700000
1876402,2350000
8452000,3160000
9244683,2350000
2170258,1700000
14341649,2500000
1585129,3160000
10802319,2500000
1413736,2500000
5781004,1700000
6291946,2500000
1870981,1700000
6847390,2350000
9985112,1300000
9388169,2500000
2324600,1800000
7974182,3160000
2212334,2500000
14099550,1300000
8318344,1700000
19641410,2350000
7338065,1800000
7724957,2500000
278000,2500000
10015182,3160000
15111815,3160000
7725708,3160000
820047,2500000
21012256,1700000
10240481,3160000
5919111,3160000
22074007,1700000
10110814,1300000
1118441,3160000
2054114,1700000
3119191,1700000
6674601,3160000
16298043,1300000
4811694,1300000
56588,3160000
6912580,2350000
9463774,1700000
8261391,1800000
10013857,2350000
9057096,3160000
6411557,3160000
6114380,1300000
8311307,1800000
18703057,1700000
2626226,3160000
6477071,1700000
7676228,2350000
22254235,1300000
7993570,2350000
22192221,1300000
13604455,1700000
10178619,2350000
7101167,1800000
10878942,2500000
3313100,2500000
7768861,2500000
10393773,3160000
4735664,1700000
784809,2500000
3140482,1800000
6379329,1300000
7156727,1300000
2408695,2500000
11054181,2350000
827883,1800000
9643815,1300000
7958019,2350000
14611469,2500000
2933049,2500000
6454351,1800000
10372693,3160000
1655333,1800000
23226578,2500000
9259718,1300000
7427882,2500000
22106336,1800000
16253994,1300000
1165881,3160000
1369122,2350000
961522,2500000
1467776,2350000
2736830,2350000
6748306,2500000
18710281,1800000
12912573,2500000
17230208,2500000
10919788,1700000
1962145,1300000
4581921,2350000
2466269,3160000
18623118,1300000
7039588,2350000
9392844,1800000
6005071,1300000
19572467,2500000
8011716,1700000
22042971,2500000
1625596,2350000
2930016,1800000
2922813,1800000
8432894,1700000
9786884,1700000
1840973,1700000
94033,1800000
5263204,1700000
9463068,1300000
1821191,1800000
2856465,3160000
19853671,1300000
16005933,2350000
5345885,2500000
8362107,2500000
1903496,2500000
7306213,1300000
10157044,1800000
10708772,2350000
10439708,2350000
17536471,1300000
11008084,2500000
10862876,2350000
2445456,1800000
6651003,1300000
9433129,2500000
17301372,1300000
3618683,1800000
5638993,3160000
6545781,1800000
3133925,3160000
19386479,2500000
7016974,2500000
23200049,2350000
1281622,2500000
4801578,1700000
22239095,2350000
9794001,2500000
3550466,2350000
1069617,1300000
8315452,2500000
3188076,1300000
18645129,2350000
10815632,1300000
1553964,3160000
5944225,3160000
17546034,1700000
9537788,1800000
7847443,1300000
7138726,2500000
10057506,3160000
75004,1800000
7435281,2500000
3013319,3160000
2606348,2350000
5920212,1300000
22110871,2500000
3312746,2500000
17071473,1800000
10326483,1300000
5985361,2500000
8341408,1300000
1160664,1700000
2665985,2500000
6120322,1700000
3496533,2500000
14207922,3160000
6577486,3160000
9964824,1800000
10911329,1700000
7766527,3160000
7502774,3160000
5125701,1700000
18652382,1300000
22186565,2500000
20843488,1700000
3248901,1800000
22253053,2500000
15321659,1800000
19131921,1800000
18402600,1300000
2800204,2350000
2244445,3160000
5326703,3160000
2056769,1700000
9470890,2500000
7378881,3160000
8251436,1300000
18601266,3160000
6358812,1300000
18641549,1300000
2997092,2350000
17646110,2350000
19409340,3160000
6539918,1700000
5886794,2350000
19396989,1300000
2064690,1800000
17879555,3160000
18616075,3160000
8375134,1700000
2302518,1800000
1754881,1300000
7656374,1300000
2166558,2350000
852702,2350000
7973750,2500000
8040241,2350000
7289398,2350000
22106773,1800000
1131863,3160000
7297051,1700000
19406928,1800000
22254152,1700000
201294,2350000
9263908,1300000
14733179,3160000
10227503,3160000
12836107,1300000
8580747,1700000
1476922,3160000
2034924,2500000
954485,2350000
6744225,1700000
9841115,1800000
1169767,1700000
8148634,2500000
4711361,1800000
9904016,1800000
10080670,1700000
1194054,3160000
18691174,1700000
9921878,1300000
2778129,1300000
3273482,1800000
5345395,1700000
7630514,1700000
7168572,2350000
9392983,2350000
14776720,2500000
7562950,1700000
16129098,1700000
3191957,1300000
10189600,2350000
5921634,3160000
8203642,1800000
5283454,3160000
3076062,1700000
2371415,2350000
5407268,1800000
8388337,2350000
10549446,1700000
10248604,2350000
46681,1300000
17656543,2500000
9397847,2350000
10990874,3160000
7039407,2500000
8045599,2350000
9501422,1300000
10771314,3160000
3472803,2500000
5635984,2350000
7311619,2350000
2240408,2350000
2741350,2350000
14231306,2350000
17992165,1800000
13295920,2500000
15124820,2500000
520565,1800000
9684183,2350000
13318346,2350000
7589755,3160000
1076187,3160000
7215361,2350000
14439916,1800000
1556860,1800000
18609911,3160000
14755210,1300000
2577268,2500000
1802426,1300000
10942976,2350000
2924727,2350000
2328554,1300000
16986817,2350000
1563465,3160000
6968080,3160000
8358527,2500000
15254824,1300000
15035779,2500000
9617771,1300000
13533308,1800000
14205879,1700000
21306979,1300000
5817345,2350000
7403055,1300000
7791392,1800000
3297106,3160000
6941644,1800000
5739684,1700000
2460932,1800000
1454196,3160000
1982770,3160000
16054352,1800000
9827649,1700000
4817529,3160000
7390594,2500000
1642482,2500000
20461322,1300000
23227088,1700000
1106624,1300000
5949119,3160000
19029122,2500000
1249841,1800000
5726950,2500000
4470542,2350000
1443488,2500000
20090946,3160000
7413098,2500000
6133224,3160000
4869072,1300000
5510096,2500000
4125551,3160000
7544568,1300000
23148466,1300000
9806940,2500000
